workout,link,full_body,lower_body,upper_body,core,time1,time2,beginner,advanced
Mat Workout,https://www.sparkpeople.com/resource/fitness_plan_generator_details.asp?id=83,0,0,1000,0,100,0,0,10
Powerful Pushups Workout,https://www.sparkpeople.com/resource/fitness_plan_generator_details.asp?id=84,0,0,1000,0,100,0,0,10
Body Weight Challenge,https://www.sparkpeople.com/resource/fitness_plan_generator_details.asp?id=85,0,0,1000,0,0,100,0,10
Lower Body Toner,https://www.sparkpeople.com/resource/fitness_plan_generator_details.asp?id=46,0,1000,0,0,100,0,10,0
Chair Workout,https://www.sparkpeople.com/resource/fitness_plan_generator_details.asp?id=46,0,1000,0,0,100,0,10,0
Mat Workout,https://www.sparkpeople.com/resource/fitness_plan_generator_details.asp?id=48,0,1000,0,0,100,0,10,0
Beginner's Workout,https://www.sparkpeople.com/resource/fitness_plan_generator_details.asp?id=49,0,1000,0,0,100,0,10,0
Booty Workout,https://www.sparkpeople.com/resource/fitness_plan_generator_details.asp?id=50,0,1000,0,0,100,0,10,0
Hip Slimming Workout,https://www.sparkpeople.com/resource/fitness_plan_generator_details.asp?id=51,0,1000,0,0,100,0,10,0
Body Weight Workout,https://www.sparkpeople.com/resource/fitness_plan_generator_details.asp?id=52,0,1000,0,0,0,100,10,0
Mat Workout,https://www.sparkpeople.com/resource/fitness_plan_generator_details.asp?id=53,0,1000,0,0,0,100,10,0
Twist Workout,https://www.sparkpeople.com/resource/fitness_plan_generator_details.asp?id=54,0,1000,0,0,0,100,10,0
Advanced Lower Body Toner,https://www.sparkpeople.com/resource/fitness_plan_generator_details.asp?id=55,0,1000,0,0,100,0,0,10
Squat & Lunge Workout,https://www.sparkpeople.com/resource/fitness_plan_generator_details.asp?id=56,0,1000,0,0,100,0,0,10
Step Up Workout,https://www.sparkpeople.com/resource/fitness_plan_generator_details.asp?id=57,0,1000,0,0,100,0,0,10
Advanced Mat Workout,https://www.sparkpeople.com/resource/fitness_plan_generator_details.asp?id=58,0,1000,0,0,100,0,0,10
Balance Challenge,https://www.sparkpeople.com/resource/fitness_plan_generator_details.asp?id=59,0,1000,0,0,100,0,0,10
Single Side Workout,https://www.sparkpeople.com/resource/fitness_plan_generator_details.asp?id=60,0,1000,0,0,0,100,0,10
Lower Body Burn,https://www.sparkpeople.com/resource/fitness_plan_generator_details.asp?id=61,0,1000,0,0,0,100,0,10
Mat Workout,https://www.sparkpeople.com/resource/fitness_plan_generator_details.asp?id=19,0,0,0,1000,100,0,10,0
Abs Workout,https://www.sparkpeople.com/resource/fitness_plan_generator_details.asp?id=20,0,0,0,1000,100,0,10,0
Standing Core Challenge,https://www.sparkpeople.com/resource/fitness_plan_generator_details.asp?id=21,0,0,0,1000,100,0,10,0
Yogilates Workout,https://www.sparkpeople.com/resource/fitness_plan_generator_details.asp?id=22,0,0,0,1000,100,0,10,0
Core Concentration,https://www.sparkpeople.com/resource/fitness_plan_generator_details.asp?id=23,0,0,0,1000,0,100,10,0
Abs Challenge,https://www.sparkpeople.com/resource/fitness_plan_generator_details.asp?id=42,0,0,0,1000,0,100,10,0
Core Workout,https://www.sparkpeople.com/resource/fitness_plan_generator_details.asp?id=24,0,0,0,1000,100,0,0,10
Mat Workout,https://www.sparkpeople.com/resource/fitness_plan_generator_details.asp?id=25,0,0,0,1000,100,0,0,10
Advanced Yogilates Workout,https://www.sparkpeople.com/resource/fitness_plan_generator_details.asp?id=26,0,0,0,1000,100,0,0,10
Complete Core Challenge,https://www.sparkpeople.com/resource/fitness_plan_generator_details.asp?id=27,0,0,0,1000,0,100,0,10
Hard Core Ball Challenge,https://www.sparkpeople.com/resource/fitness_plan_generator_details.asp?id=32,0,0,0,1000,0,100,0,10
